11003201500,2015³â InsideBank À¯Áöº¸¼ö,2795.0,17|10138:237.5,10233:237.5,10280:236.5,10269:236.0,10259:231.5,10336:229.0,10330:225.0,10344:223.0,10329:213.0,10152:192.0,10308:185.0,10298:175.0,10075:75.0,10363:38.0,10216:37.0,10372:13.0,10151:11.0
11002201500,2015³â ½ÅÇÑ ½º¸¶Æ® Àü´ã¹Ý,2486.8,14|10258:252.0,10093:243.0,10321:234.0,10341:232.0,10292:230.0,10266:229.0,10182:226.0,10285:196.0,10179:194.0,10290:157.0,10359:149.0,10206:66.0,10318:58.0,10208:20.8
14999901446,»ç¾÷º»ºÎÁö¿ø¾÷¹«,1398.7999999999997,33|10274:154.6,10064:147.0,10353:126.9,10302:124.0,10278:110.80000000000001,10260:76.0,10255:73.0,10364:58.0,10216:54.8,10208:51.8,10236:48.0,10351:46.0,10286:44.5,10299:36.0,10243:35.0,10356:33.5,10318:33.0,10234:28.700000000000003,10342:21.0,10291:16.0,10333:14.0,10232:14.0,10290:12.0,10206:8.7,10368:6.0,10175:4.500000000000001,10142:4.1,10296:4.0,10189:4.0,10294:3.0,10081:2.9000000000000004,10075:2.0,10314:1.0
11001201500,2015³â ½ºÅ©·¡ÇÎ¼­ºñ½º ASP,1212.3000000000002,13|10111:212.60000000000002,10297:209.5,10332:202.0,10194:145.79999999999998,10358:134.0,10187:86.5,10356:84.40000000000002,10082:77.3,10175:29.400000000000002,10313:12.5,10385:9.0,10351:9.0,10151:0.3
14999901402,°æ¿µ°ü¸®ºÎ¾÷¹«,1076.9,11|10331:240.0,10343:237.0,10056:232.5,10268:143.0,10198:142.0,10369:75.0,10275:2.0,10194:2.0,10208:1.9000000000000001,10389:1.0,20103:0.5
14032201400,±¹¹Î¿¬±Ý°ø´Ü ÁÖ°Å·¡½Ã½ºÅÛ À¯Áöº¸¼ö,943.9,6|10316:243.9,10164:238.0,10091:229.0,10130:181.0,20016:48.0,10353:4.0
13030501300,ÇÁ¸®¸¶ÄÏ(¿ÀÆÛºÏ),772.1000000000001,8|10340:235.1,10354:192.2,10335:179.2,10282:102.0,10360:56.0,10274:3.6999999999999997,10175:3.400000000000001,10208:0.5
13900901317,¿µ¾÷¾÷¹«,765.2,6|10275:250.0,10339:229.0,10361:160.0,10366:105.0,10303:21.0,10234:0.2
12999901200,ÈÞ°¡,621.9,71|10064:45.2,10274:22.0,10152:18.0,10259:17.5,10286:17.0,10056:16.5,10233:16.5,10236:16.0,10352:15.0,10198:15.0,10275:15.0,10329:15.0,10344:14.0,10294:14.0,10187:13.5,10208:13.0,10292:13.0,10297:12.5,10234:12.5,10280:12.5,10151:12.2,10130:12.0,10175:11.0,10075:11.0,10299:11.0,10266:11.0,10111:11.0,10138:10.5,10278:10.0,10343:9.0,10298:9.0,10169:8.0,10336:8.0,10142:8.0,10291:8.0,10330:8.0,10081:8.0,10194:7.5,10093:7.0,10268:7.0,10302:7.0,10308:7.0,10074:7.0,10232:7.0,10091:6.0,10321:6.0,10339:6.0,10331:5.0,10364:4.0,10077:4.0,10179:4.0,10082:4.0,10296:4.0,10216:3.0,10203:3.0,10322:3.0,10335:3.0,10303:2.0,10332:2.0,10358:2.0,10316:2.0,10353:1.0,10282:1.0,10149:1.0,10326:1.0,10359:1.0,10338:1.0,10356:1.0,10313:1.0,10361:1.0,10369:1.0
15018101500,³óÇùÀºÇà ½º¸¶Æ® ±ÝÀ¶¼¾ÅÍ ±ÝÀ¶»óÇ° ¸¶ÄÏ ±¸Ãà(½º¸¶Æ®),606.0999999999999,7|10236:201.0,10328:135.1,10282:108.0,10286:91.5,10187:31.5,10260:21.0,10302:18.0
