16091101600,해피머니홈페이지 개편 제안 작업,318.4,6|10383:105.0,10232:84.0,10454:57.6,10372:34.0,10405:31.800000000000004,10457:6.0
16888901608,S본부지원업무,311.0,14|10364:75.0,10336:58.5,10451:39.0,10444:32.0,10443:28.0,10299:20.0,10445:17.0,10429:12.0,10419:9.5,10457:6.0,10286:6.0,10423:4.0,10458:3.0,10371:1.0
17008201700,2017년 신한은행 써니뱅크(Sunny Bank) 전담반 개발 및 유지보수,276.0,3|10286:134.0,10259:118.0,10452:24.0
16079101600,소상공인시장진흥공단 전통시장 화재공제 시스템 구축,247.0,4|10449:96.0,10142:68.0,10296:67.0,10175:16.0
17999901707,Sales 2 Team   Business Support,240.0,2|10432:125.0,10476:115.0
16888901602,S1본부지원업무,226.5,6|10465:88.0,10438:81.0,10366:48.0,10445:5.0,10413:2.5,10474:2.0
16888901619,사업지원지원업무,212.29999999999998,3|10343:98.0,10423:77.30000000000001,10064:37.0
17999901712,Sales 3 Team  Business Support,187.8,2|10423:123.8,10343:64.0
17999901705,Digital Part   Business Support,185.0,4|10444:89.0,10497:71.0,10445:21.0,10498:4.0
17041101700,IBK기업은행 I-ONE뱅크(기업) 재구축,172.0,4|10454:60.0,10372:53.0,10383:51.0,10431:8.0
16888901611,시너지본부지원업무,161.20000000000005,12|10416:78.0,10423:21.5,10385:19.0,10419:11.0,10082:9.7,10384:4.0,10194:4.0,10111:4.0,10494:3.0,10260:3.0,10446:2.0,10358:2.0
16888901603,S2본부지원업무,159.4,4|10476:100.0,10432:58.0,10419:1.0,10405:0.4
17069101700,KB 모바일 URL 기반 미리업무신청 서비스,157.0,5|10332:57.5,10405:38.5,10491:25.0,10371:22.0,10483:14.0
17999901709,Technical Part   Business Support,156.0,5|10451:84.0,10443:49.0,10419:18.0,10457:3.0,10372:2.0
17999901711,3 Unit  Business Support,154.0,5|10260:99.0,10343:50.0,10516:3.0,10449:1.0,10194:1.0
17999901716,R&D Part  Business Support,150.0,6|10074:51.0,10187:45.5,10372:43.0,10449:8.0,10291:2.0,10308:0.5
11003201600,2016년 InsideBank 유지보수,143.8,15|10233:16.0,10460:12.0,10430:12.0,10372:12.0,10330:12.0,10269:12.0,10075:12.0,10433:11.0,10259:11.0,10426:10.0,10381:9.0,10081:7.0,10280:6.0,10332:1.0,10385:0.8
