사번,조직의 목표달성,수익성 지향,업무수행능력,혁신/창의력,자기계발의지,판단력,책임감,협조성,소통,위기대응
10308,8.5 ,8.0 ,8.0 ,7.5 ,7.5 ,8.0 ,8.5 ,8.5 ,9.0 ,8.0 
10075,9.5 ,8.0 ,9.5 ,8.0 ,8.0 ,9.5 ,9.5 ,9.5 ,9.0 ,9.5 
10369,9.0 ,9.2 ,8.7 ,8.3 ,8.5 ,8.7 ,9.5 ,8.0 ,8.0 ,9.0 
10194,8.0 ,8.5 ,8.5 ,8.5 ,8.5 ,8.0 ,8.5 ,8.5 ,8.0 ,9.0 
10258,9.5 ,9.0 ,9.5 ,9.5 ,8.5 ,9.5 ,9.5 ,8.0 ,9.0 ,9.0 
10372,7.0 ,8.5 ,7.0 ,7.0 ,8.5 ,8.0 ,8.0 ,8.0 ,6.0 ,8.0 
10204,9.0 ,9.0 ,8.0 ,8.0 ,8.0 ,8.5 ,9.0 ,8.5 ,8.0 ,8.5 
10296,8.5 ,8.5 ,8.5 ,8.5 ,8.0 ,8.5 ,8.5 ,8.0 ,8.0 ,8.0 
10197,8.5 ,8.0 ,8.5 ,8.0 ,8.5 ,8.5 ,8.5 ,8.5 ,8.5 ,8.0 
10419,7.5 ,7.5 ,8.0 ,7.5 ,7.5 ,7.0 ,8.0 ,8.5 ,8.0 ,7.0 
10259,8.0 ,8.0 ,9.0 ,8.0 ,8.0 ,8.0 ,8.5 ,8.0 ,8.0 ,8.0 
10332,8.0 ,8.0 ,8.0 ,7.0 ,7.0 ,8.0 ,8.0 ,8.5 ,8.5 ,7.5 
10383,9.0 ,8.0 ,8.0 ,8.0 ,9.0 ,9.0 ,9.0 ,8.0 ,9.0 ,8.0 
10387,8.5 ,8.5 ,8.5 ,8.0 ,8.0 ,9.1 ,9.5 ,9.5 ,9.1 ,8.0 
10082,8.0 ,8.0 ,8.5 ,7.5 ,7.5 ,8.5 ,8.5 ,8.5 ,8.5 ,8.0 
10386,8.5 ,8.5 ,8.0 ,8.0 ,10.0 ,9.0 ,9.5 ,9.5 ,8.5 ,8.0 
10418,7.0 ,7.0 ,9.0 ,9.0 ,8.0 ,8.0 ,9.0 ,9.0 ,8.0 ,8.0 
10413,8.0 ,8.0 ,9.0 ,9.0 ,9.0 ,9.0 ,9.0 ,8.0 ,8.0 ,8.0 
10340,8.0 ,10.0 ,9.0 ,9.0 ,6.0 ,8.0 ,10.0 ,8.0 ,9.0 ,9.0 
10164,9.0 ,8.5 ,9.5 ,8.5 ,9.5 ,9.0 ,9.5 ,9.0 ,9.5 ,9.5 
10111,9.0 ,9.0 ,9.0 ,8.0 ,8.0 ,9.0 ,9.0 ,9.5 ,9.0 ,8.0 
10142,8.5 ,8.5 ,8.5 ,8.5 ,8.5 ,8.5 ,8.5 ,9.0 ,9.0 ,8.5 
10329,9.0 ,8.5 ,9.0 ,8.6 ,9.0 ,9.0 ,9.5 ,9.0 ,9.0 ,9.0 
10255,9.5 ,8.5 ,9.0 ,9.0 ,8.3 ,8.6 ,9.2 ,9.0 ,9.0 ,8.3 
