사번,조직의 목표달성,수익성 지향,업무수행능력,혁신/창의력,자기계발의지,판단력,책임감,협조성,소통,위기대응
10233,9.0 ,9.0 ,9.5 ,8.5 ,8.5 ,8.5 ,10.0 ,9.5 ,9.0 ,8.5 
10433,7.0 ,6.0 ,6.0 ,6.0 ,8.0 ,6.0 ,6.0 ,6.5 ,6.5 ,7.0 
10384,9.0 ,9.0 ,9.0 ,8.5 ,8.5 ,9.0 ,9.4 ,9.0 ,9.0 ,9.0 
10203,7.0 ,6.0 ,8.5 ,7.0 ,8.0 ,7.5 ,8.0 ,7.5 ,7.0 ,7.0 
10091,9.0 ,8.0 ,8.0 ,9.0 ,8.5 ,8.0 ,9.0 ,8.0 ,9.0 ,8.0 
10179,9.0 ,8.5 ,9.0 ,7.5 ,7.5 ,9.0 ,8.5 ,8.0 ,8.0 ,9.0 
10260,8.5 ,8.5 ,9.8 ,9.0 ,9.0 ,9.4 ,9.8 ,9.0 ,9.0 ,9.0 
10460,8.0 ,8.0 ,9.0 ,7.0 ,7.5 ,8.0 ,9.0 ,9.0 ,8.0 ,7.0 
10432,8.5 ,8.5 ,8.0 ,7.5 ,8.0 ,7.5 ,8.0 ,7.5 ,7.5 ,7.5 
10336,9.0 ,9.0 ,9.5 ,9.0 ,9.0 ,9.5 ,9.8 ,9.0 ,9.0 ,9.0 
10064,9.0 ,8.0 ,8.0 ,9.5 ,9.0 ,8.0 ,8.5 ,8.0 ,9.0 ,8.5 
10434,9.0 ,9.0 ,9.0 ,9.0 ,9.8 ,9.0 ,9.4 ,9.4 ,9.4 ,9.4 
10482,8.0 ,8.0 ,8.0 ,8.0 ,8.0 ,8.0 ,9.0 ,8.0 ,8.5 ,8.0 
10431,7.0 ,7.0 ,7.0 ,6.0 ,7.0 ,7.0 ,8.5 ,8.0 ,7.0 ,7.0 
10494,9.4 ,9.0 ,9.0 ,9.0 ,9.0 ,9.0 ,9.0 ,9.0 ,9.0 ,9.0 
10407,9.5 ,9.5 ,10.0 ,9.5 ,9.5 ,9.5 ,10.0 ,9.5 ,9.8 ,9.5 
10452,8.5 ,8.0 ,8.0 ,8.0 ,8.0 ,9.0 ,9.0 ,9.0 ,9.0 ,7.0 
10457,9.0 ,8.0 ,9.5 ,9.0 ,9.5 ,8.5 ,8.0 ,9.0 ,9.0 ,9.0 
10385,9.4 ,9.4 ,9.8 ,9.0 ,9.4 ,9.4 ,9.8 ,9.4 ,9.4 ,9.4 
10266,9.5 ,8.5 ,9.8 ,9.6 ,9.6 ,9.0 ,9.5 ,9.5 ,9.0 ,8.5 
10458,7.0 ,6.0 ,6.0 ,6.0 ,6.0 ,7.0 ,5.0 ,7.0 ,9.0 ,6.0 
10359,9.0 ,9.0 ,9.5 ,9.0 ,8.5 ,9.6 ,9.6 ,9.8 ,9.0 ,9.5 
10182,9.5 ,9.0 ,9.5 ,8.5 ,8.5 ,9.0 ,9.5 ,9.6 ,8.5 ,9.0 
10056,9.0 ,8.0 ,6.0 ,8.0 ,9.0 ,7.0 ,9.6 ,8.0 ,7.0 ,9.0 
10208,9.3 ,9.3 ,9.5 ,9.3 ,9.5 ,9.5 ,9.5 ,9.5 ,9.5 ,9.3 
10438,8.9 ,8.9 ,8.9 ,8.5 ,9.0 ,8.5 ,9.0 ,9.0 ,9.0 ,8.5 
10339,8.0 ,9.0 ,8.5 ,9.5 ,8.0 ,9.0 ,9.0 ,8.0 ,9.5 ,7.0 
10286,9.0 ,9.0 ,8.5 ,8.0 ,8.5 ,7.5 ,7.5 ,8.0 ,7.5 ,6.5 
10450,8.0 ,8.0 ,7.0 ,8.0 ,7.0 ,8.0 ,9.0 ,10.0 ,9.0 ,8.0 
10341,9.5 ,8.5 ,9.5 ,8.5 ,8.0 ,9.5 ,9.5 ,9.0 ,9.0 ,9.0 
10389,9.0 ,9.0 ,9.0 ,7.0 ,7.0 ,9.0 ,9.0 ,9.6 ,9.0 ,9.6 
10252,9.5 ,9.0 ,9.8 ,9.0 ,9.0 ,9.5 ,9.5 ,9.0 ,9.0 ,9.5 
10497,9.5 ,9.0 ,9.5 ,9.0 ,8.5 ,8.5 ,9.0 ,8.5 ,8.5 ,9.0 
10465,3.0 ,3.0 ,3.0 ,3.0 ,3.0 ,3.0 ,3.0 ,3.0 ,3.0 ,3.0 
