사번,조직의 목표달성,수익성 지향,업무수행능력,혁신/창의력,자기계발의지,판단력,책임감,협조성,소통,위기대응
10280,9.0 ,8.0 ,9.5 ,8.0 ,10.0 ,8.0 ,9.5 ,9.5 ,9.5 ,8.0 
10447,9.6 ,9.6 ,9.0 ,9.6 ,9.5 ,9.6 ,9.6 ,9.6 ,9.6 ,9.0 
10074,9.0 ,9.0 ,10.0 ,9.0 ,10.0 ,9.0 ,10.0 ,10.0 ,9.0 ,10.0 
10461,9.0 ,8.5 ,9.8 ,8.5 ,9.0 ,9.0 ,9.6 ,9.5 ,9.0 ,9.0 
10321,8.0 ,9.5 ,9.0 ,8.0 ,9.0 ,8.0 ,9.0 ,9.0 ,7.0 ,7.0 
10378,9.5 ,9.0 ,9.5 ,8.5 ,9.0 ,9.5 ,9.5 ,9.0 ,9.5 ,9.0 
10379,9.5 ,9.5 ,9.2 ,9.5 ,10.0 ,9.2 ,9.6 ,9.3 ,9.2 ,9.0 
10291,9.0 ,10.0 ,8.0 ,8.0 ,7.0 ,9.0 ,10.0 ,10.0 ,10.0 ,9.0 
10149,9.8 ,9.8 ,9.8 ,9.4 ,9.4 ,9.4 ,9.8 ,9.8 ,9.8 ,9.4 
10496,8.0 ,7.5 ,8.0 ,8.0 ,8.0 ,8.0 ,8.0 ,8.5 ,8.0 ,8.0 
10364,9.7 ,9.7 ,9.7 ,9.2 ,9.5 ,9.7 ,9.7 ,9.7 ,9.7 ,9.5 
10269,7.0 ,7.0 ,7.5 ,6.0 ,6.0 ,7.0 ,7.0 ,7.5 ,7.5 ,7.5 
10371,8.0 ,8.0 ,9.5 ,8.0 ,9.0 ,7.0 ,8.5 ,7.0 ,7.0 ,7.0 
10187,9.0 ,9.0 ,9.0 ,9.0 ,10.0 ,9.0 ,10.0 ,9.0 ,9.0 ,9.0 
10175,9.0 ,9.0 ,9.0 ,9.0 ,9.0 ,9.0 ,9.8 ,9.0 ,8.5 ,9.0 
10292,9.5 ,9.0 ,9.5 ,9.0 ,9.0 ,9.5 ,9.5 ,9.5 ,9.8 ,9.5 
10093,9.0 ,8.5 ,9.5 ,8.5 ,9.0 ,9.5 ,9.6 ,9.6 ,9.5 ,9.5 
10437,9.0 ,7.0 ,6.0 ,6.0 ,9.0 ,9.0 ,9.9 ,9.0 ,8.0 ,7.0 
10454,8.0 ,7.0 ,7.0 ,7.0 ,7.0 ,7.0 ,7.0 ,9.0 ,8.0 ,7.0 
10403,9.5 ,9.3 ,9.5 ,9.2 ,9.2 ,9.5 ,9.8 ,9.5 ,9.6 ,9.5 
10330,8.0 ,8.0 ,8.0 ,8.0 ,8.0 ,8.0 ,8.0 ,8.0 ,8.0 ,8.0 
10423,9.8 ,9.8 ,9.8 ,9.4 ,9.8 ,9.4 ,9.8 ,9.8 ,9.8 ,9.4 
10442,9.4 ,9.4 ,9.4 ,9.0 ,9.0 ,9.4 ,9.8 ,9.8 ,9.8 ,9.0 
10421,8.0 ,8.5 ,9.0 ,8.0 ,9.0 ,8.0 ,9.6 ,8.5 ,7.0 ,8.0 
10429,6.0 ,6.0 ,5.0 ,5.0 ,5.0 ,5.0 ,5.0 ,6.0 ,5.0 ,4.0 
10130,9.4 ,9.4 ,9.0 ,9.0 ,9.0 ,9.4 ,9.8 ,9.4 ,9.4 ,9.4 
10477,8.0 ,7.0 ,9.0 ,7.0 ,7.0 ,8.0 ,9.5 ,9.5 ,8.0 ,7.0 
10342,9.8 ,10.0 ,10.0 ,9.6 ,9.6 ,10.0 ,10.0 ,10.0 ,10.0 ,9.6 
10430,8.0 ,8.0 ,8.0 ,7.0 ,7.0 ,7.0 ,9.0 ,8.0 ,9.0 ,8.0 
10451,8.0 ,7.0 ,8.0 ,7.0 ,9.0 ,8.0 ,8.0 ,8.0 ,8.0 ,7.0 
10445,9.5 ,9.5 ,8.7 ,9.0 ,8.5 ,9.0 ,9.5 ,8.5 ,9.0 ,8.5 
10236,8.0 ,7.0 ,9.5 ,9.0 ,9.0 ,8.0 ,9.0 ,7.0 ,8.0 ,8.0 
10440,9.4 ,9.4 ,9.8 ,9.4 ,9.8 ,9.8 ,9.8 ,9.4 ,9.0 ,9.4 
10356,8.0 ,8.0 ,8.0 ,8.0 ,9.0 ,8.0 ,8.0 ,8.0 ,8.0 ,8.0 
10449,9.8 ,9.8 ,9.8 ,9.4 ,9.8 ,9.8 ,10.0 ,9.8 ,9.4 ,9.4 
10366,9.7 ,9.7 ,9.5 ,9.8 ,9.8 ,9.5 ,9.8 ,9.7 ,9.8 ,9.5 
10381,7.0 ,7.0 ,7.0 ,7.0 ,8.0 ,6.0 ,6.0 ,8.0 ,8.0 ,7.0 
10331,9.0 ,9.0 ,6.0 ,7.0 ,6.0 ,8.0 ,8.0 ,9.0 ,9.8 ,7.0 
10444,9.5 ,9.5 ,9.0 ,9.0 ,8.5 ,9.0 ,9.5 ,8.5 ,9.0 ,8.5 
10405,7.0 ,7.0 ,9.0 ,7.0 ,8.5 ,5.0 ,8.0 ,7.0 ,7.0 ,8.5 
10081,9.5 ,9.5 ,8.0 ,9.5 ,7.5 ,8.0 ,10.0 ,9.5 ,9.0 ,9.5 
10299,9.5 ,9.8 ,9.5 ,9.8 ,9.5 ,9.5 ,10.0 ,9.5 ,9.5 ,9.5 
10308,10.0 ,9.0 ,10.0 ,9.0 ,10.0 ,9.0 ,10.0 ,10.0 ,10.0 ,10.0 
10075,9.5 ,9.0 ,9.8 ,8.5 ,9.0 ,9.5 ,10.0 ,9.5 ,9.0 ,9.5 
10369,6.0 ,8.0 ,8.0 ,6.0 ,5.0 ,6.0 ,6.0 ,6.0 ,5.0 ,6.0 
10194,9.0 ,9.0 ,9.8 ,9.0 ,9.0 ,9.4 ,9.8 ,9.8 ,9.0 ,9.4 
10258,9.5 ,9.5 ,9.6 ,8.5 ,9.0 ,9.0 ,9.6 ,8.5 ,9.5 ,9.6 
10372,7.0 ,7.0 ,7.0 ,7.0 ,8.0 ,7.0 ,8.5 ,8.0 ,8.0 ,7.0 
10204,9.4 ,9.4 ,9.0 ,9.0 ,8.5 ,9.0 ,9.4 ,9.8 ,9.4 ,9.4 
10296,9.8 ,9.4 ,9.8 ,9.4 ,9.4 ,9.4 ,9.8 ,9.8 ,9.4 ,9.4 
10352,9.0 ,9.0 ,9.0 ,9.0 ,9.8 ,9.0 ,9.4 ,9.4 ,9.8 ,9.4 
10419,9.5 ,8.0 ,9.0 ,8.0 ,9.5 ,8.0 ,9.8 ,9.5 ,10.0 ,9.0 
10426,9.5 ,9.0 ,9.5 ,9.0 ,10.0 ,9.5 ,10.0 ,9.0 ,9.0 ,8.5 
10382,9.5 ,8.5 ,9.5 ,8.5 ,9.0 ,9.5 ,9.5 ,9.0 ,9.5 ,9.0 
10484,8.0 ,8.0 ,9.0 ,8.0 ,8.0 ,8.0 ,8.0 ,8.0 ,8.0 ,8.0 
10259,9.0 ,9.0 ,8.5 ,8.5 ,8.5 ,9.0 ,9.0 ,8.5 ,8.0 ,9.0 
10455,10.0 ,9.5 ,9.5 ,10.0 ,9.5 ,10.0 ,9.5 ,9.5 ,9.5 ,9.0 
10476,7.0 ,7.0 ,8.5 ,7.0 ,8.0 ,7.0 ,8.0 ,8.0 ,8.0 ,7.0 
10332,9.0 ,9.0 ,9.4 ,9.0 ,9.0 ,9.4 ,9.0 ,9.0 ,9.0 ,9.0 
10383,8.0 ,7.0 ,8.0 ,7.0 ,9.0 ,8.0 ,8.0 ,8.0 ,7.0 ,7.0 
10387,9.0 ,8.5 ,8.5 ,8.5 ,9.5 ,9.0 ,9.5 ,9.0 ,9.5 ,9.0 
10082,9.4 ,9.4 ,9.0 ,9.0 ,9.0 ,9.0 ,9.4 ,9.0 ,9.0 ,9.0 
10386,9.5 ,9.0 ,9.5 ,9.0 ,9.6 ,9.0 ,9.8 ,9.0 ,9.0 ,9.0 
10413,8.5 ,8.0 ,9.0 ,9.0 ,9.0 ,8.3 ,8.5 ,9.0 ,8.0 ,9.0 
10443,9.5 ,9.0 ,9.0 ,8.0 ,9.0 ,8.5 ,9.8 ,9.5 ,9.5 ,8.5 
10164,9.0 ,9.0 ,9.8 ,9.0 ,9.0 ,9.0 ,9.8 ,9.0 ,9.5 ,9.0 
10441,9.0 ,9.0 ,10.0 ,10.0 ,10.0 ,9.0 ,10.0 ,8.0 ,8.0 ,9.0 
10111,9.8 ,9.8 ,9.5 ,9.0 ,9.0 ,9.5 ,9.8 ,9.8 ,9.4 ,9.5 
10302,8.5 ,8.0 ,8.5 ,9.0 ,9.0 ,8.5 ,8.5 ,8.0 ,9.5 ,8.0 
10456,6.0 ,5.0 ,6.5 ,6.5 ,7.0 ,6.0 ,7.0 ,6.5 ,5.0 ,5.0 
10142,9.8 ,9.8 ,9.8 ,9.4 ,9.4 ,9.8 ,9.8 ,9.8 ,9.8 ,9.4 
