사번,조직의 목표달성,수익성 지향,업무수행능력,혁신/창의력,자기계발의지,판단력,책임감,협조성,소통,위기대응
10056,8.8,9.5,8.5,8.3,8.0,8.8,9.3,8.8,8.8,9.1
10064,8.5,7.8,7.0,9.3,9.8,7.0,7.5,9.3,9.5,8.5
10074,9.5,9.8,9.0,9.0,9.0,9.5,9.0,9.0,9.0,9.0
10075,9.3,9.3,9.5,9.0,8.3,9.5,9.5,9.3,8.8,9.0
10077,8.8,8.8,8.9,8.5,9.0,8.8,9.0,8.5,8.3,8.8
10081,9.3,9.3,8.3,8.3,8.3,9.3,9.3,8.5,8.3,8.5
10082,7.0,7.0,7.0,7.0,6.0,7.0,7.0,9.0,9.0,7.0
10091,8.0,8.0,8.5,8.0,8.0,9.0,9.0,8.5,8.0,9.0
10093,9.0,8.3,9.3,7.5,8.0,8.5,9.3,8.8,8.5,9.3
10111,8.5,8.8,9.3,8.8,8.5,8.5,9.3,9.0,9.3,9.0
10130,8.0,8.0,8.0,7.5,7.5,8.5,8.5,8.5,8.0,8.5
10138,7.5,8.0,7.5,7.0,7.0,7.5,7.8,7.5,7.0,8.0
10142,9.8,9.3,9.3,8.5,8.3,9.3,9.8,9.3,9.3,9.0
10149,8.5,8.5,9.5,9.0,9.0,9.5,9.5,9.0,9.0,9.5
10151,6.5,7.5,9.5,8.0,8.5,8.0,7.5,7.5,7.5,9.5
10152,9.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0
10164,8.0,7.5,9.0,7.5,8.0,9.0,7.0,6.0,7.0,9.0
10169,7.0,8.0,8.0,8.0,7.0,8.0,9.0,9.0,8.0,8.0
10175,8.3,8.8,8.5,8.0,7.0,8.3,8.3,9.0,8.8,8.0
10179,7.5,8.5,8.8,7.5,7.5,7.5,7.5,8.5,9.3,8.9
10182,8.3,8.5,8.8,8.3,8.8,9.0,9.5,9.3,8.5,8.5
10187,9.5,9.3,9.3,9.0,9.3,9.3,9.3,9.8,9.3,9.3
